Song Id,Song,angry,disgust,fear,happy,sad,surprise,neutral,class
135,Kabhi kabhi mere Dil me ,18.41004184,0,2.510460251,13.38912134,53.13807531,0,12.13389121,Class_Ca
136,Kabira,8.114856429,0,4.993757803,16.3545568,47.69038702,0,22.721598,Class_Sa
137,Kaise mujhe Tum mil gyi,22.48062016,0,5.03875969,2.131782946,61.24031008,0,8.914728682,Class_Sa
138,Khamoshiyan,7.053941909,0,7.053941909,2.904564315,57.67634855,0,24.89626556,Class_Ca
179,Na Ja ,24.79564033,0.272479564,2.72479564,8.719346049,39.78201635,0,23.43324251,Class_Ha
180,Nachange Saari Raat ,11.24161074,0,8.22147651,21.02908277,46.1409396,0.838926174,12.47203579,Class_Ha
181,Nadan parinde,18.11134602,0.140944327,7.610993658,5.567300916,55.25017618,1.40944327,11.83932347,Class_Ex
182,Naina - dangal,0,0,0,0,0,0,99.8003992,Class_Sa
183,Naina asq na ho,16.46511628,0,9.488372093,11.90697674,42.79069767,0.372093023,18.88372093,Class_Sa
184,Naina thag lenge,0.191204589,0,78.01147228,5.927342256,11.08986616,0.382409178,4.206500956,Class_Sa
185,Naninon me sapna,16.92307692,0.591715976,6.982248521,12.5443787,45.0887574,0.118343195,17.63313609,Class_Ha
186,Nashe si Chad gi,12.6454616,0.077579519,11.40418929,14.42979054,46.00465477,1.939487975,13.42125679,Class_Ha
187,nazam nazam,5.965909091,0,3.693181818,24.57386364,47.86931818,0,17.75568182,Class_Ca
188,Nazar k samne,6.086956522,0,6.956521739,4.057971014,60.28985507,0,22.46376812,Class_Ca
189,Nazm ,5.965909091,0,3.693181818,24.57386364,47.86931818,0,17.75568182,Class_Ca
190,O bawre,7.943925234,0,4.205607477,9.813084112,48.8317757,0,28.97196262,Class_Ha
